Country or Area,Year,City,City type,Reliability,Source Year,Value,Value Footnotes
Austria,2017,Eisenstadt,City proper,"Final figure, complete",2017,14339,
Austria,2017,Bregenz,City proper,"Final figure, complete",2017,29574,
Austria,2017,Sankt Pölten,City proper,"Final figure, complete",2017,54213,
Austria,2017,Klagenfurt,City proper,"Final figure, complete",2017,99790,
Austria,2017,Innsbruck,City proper,"Final figure, complete",2017,132236,
Austria,2017,Salzburg,City proper,"Final figure, complete",2017,152367,
Austria,2017,Linz,City proper,"Final figure, complete",2017,203012,
Austria,2017,Graz,City proper,"Final figure, complete",2017,283869,
Austria,2017,WIEN,City proper,"Final figure, complete",2017,1867582,
Belgium,2011,Anderlecht,City proper,"Final figure, complete",2015,108940,
Belgium,2011,Namur,City proper,"Final figure, complete",2015,110175,
Belgium,2011,Namur,Urban agglomeration,"Final figure, complete",2015,110175,
Belgium,2011,Namur,City proper,"Final figure, complete",2013,110558,
Belgium,2011,Anderlecht,City proper,"Final figure, complete",2013,110671,
Belgium,2011,Brugge,City proper,"Final figure, complete",2015,117260,
Belgium,2011,Brugge,Urban agglomeration,"Final figure, complete",2015,117260,
Belgium,2011,Brugge,City proper,"Final figure, complete",2013,117377,
Belgium,2011,Schaerbeek,City proper,"Final figure, complete",2015,127525,
Belgium,2011,Schaerbeek,City proper,"Final figure, complete",2013,127909,
Belgium,2011,BRUXELLES (BRUSSEL),City proper,"Final figure, complete",2015,174383,
Belgium,2011,BRUXELLES (BRUSSEL),City proper,"Final figure, complete",2013,177307,
Belgium,2011,Liège (Luik),City proper,"Final figure, complete",2015,195965,
Belgium,2011,Liège (Luik),City proper,"Final figure, complete",2013,196272,
Belgium,2011,Charleroi,City proper,"Final figure, complete",2015,204150,
Belgium,2011,Charleroi,City proper,"Final figure, complete",2013,204540,
Belgium,2011,Gent (Gand),City proper,"Final figure, complete",2015,248358,
Belgium,2011,Gent (Gand),City proper,"Final figure, complete",2013,248739,
Belgium,2011,Gent (Gand),Urban agglomeration,"Final figure, complete",2015,280151,
Belgium,2011,Gent (Gand),Urban agglomeration,"Final figure, complete",2013,280528,
Belgium,2011,Charleroi,Urban agglomeration,"Final figure, complete",2015,291806,
Belgium,2011,Charleroi,Urban agglomeration,"Final figure, complete",2013,292441,
Belgium,2011,Liège (Luik),Urban agglomeration,"Final figure, complete",2015,491767,
Belgium,2011,Liège (Luik),Urban agglomeration,"Final figure, complete",2013,493283,
Belgium,2011,Antwerpen (Anvers),City proper,"Final figure, complete",2015,498473,
Belgium,2011,Antwerpen (Anvers),City proper,"Final figure, complete",2013,503138,
Belgium,2011,Antwerpen (Anvers),Urban agglomeration,"Final figure, complete",2013,690015,
Belgium,2011,Antwerpen (Anvers),Urban agglomeration,"Final figure, complete",2015,718730,
Belgium,2011,BRUXELLES (BRUSSEL),Urban agglomeration,"Final figure, complete",2015,1550299,3
Belgium,2011,BRUXELLES (BRUSSEL),Urban agglomeration,"Final figure, complete",2013,1561395,
Canada,2017,Saint John,City proper,Provisional figure,2018,70785,"6,7,8"
Canada,2017,Peterborough,City proper,Provisional figure,2018,84230,"6,7,8"
Canada,2017,Moncton,City proper,Provisional figure,2018,85198,"6,7,8"
Canada,2017,Victoria,City proper,Provisional figure,2018,92141,"6,7,8"
Canada,2017,Cape Breton,City proper,Provisional figure,2018,93878,"6,7,8"
Canada,2017,Brantford,City proper,Provisional figure,2018,102159,"6,7,8"
Canada,2017,Red Deer,City proper,Provisional figure,2018,103588,"6,7,8"
Canada,2017,Chatham-Kent,City proper,Provisional figure,2018,105529,"6,7,8"
Canada,2017,Thunder Bay,City proper,Provisional figure,2018,110172,"6,7,8"
Canada,2017,Delta,City proper,Provisional figure,2018,110848,"6,7,8"
Canada,2017,Waterloo,City proper,Provisional figure,2018,113520,"6,7,8"
Canada,2017,St. John's,City proper,Provisional figure,2018,113948,"6,7,8"
Canada,2017,Terrebonne,City proper,Provisional figure,2018,116319,"6,7,8"
Canada,2017,Saanich,City proper,Provisional figure,2018,119229,"6,7,8"
Canada,2017,Ajax,City proper,Provisional figure,2018,121780,"6,7,8"
Canada,2017,Thunder Bay,Urban agglomeration,Provisional figure,2018,124164,"6,7,8"
Canada,2017,Peterborough,Urban agglomeration,Provisional figure,2018,126291,"6,7,8"
Canada,2017,Saint John,Urban agglomeration,Provisional figure,2018,128541,"6,7,8"
Canada,2017,Kelowna,City proper,Provisional figure,2018,132084,"6,7,8"
Canada,2017,Guelph,City proper,Provisional figure,2018,135474,"6,7,8"
Canada,2017,Whitby,City proper,Provisional figure,2018,135566,"6,7,8"
Canada,2017,Kingston,City proper,Provisional figure,2018,136685,"6,7,8"
Canada,2017,Trois-Rivières,City proper,Provisional figure,2018,137188,"6,7,8"
Canada,2017,Coquitlam,City proper,Provisional figure,2018,140028,"6,7,8"
Canada,2017,Cambridge,City proper,Provisional figure,2018,140099,"6,7,8"
Canada,2017,St. Catharines,City proper,Provisional figure,2018,140370,"6,7,8"
Canada,2017,Langley,City proper,Provisional figure,2018,143224,"6,7,8"
Canada,2017,Lévis V,City proper,Provisional figure,2018,145584,"6,7,8"
Canada,2017,Saguenay,City proper,Provisional figure,2018,145965,"6,7,8"
Canada,2017,Brantford,Urban agglomeration,Provisional figure,2018,147489,"6,7,8"
Canada,2017,Abbotsford,City proper,Provisional figure,2018,149928,"6,7,8"
Canada,2017,Moncton,Urban agglomeration,Provisional figure,2018,152169,"6,7,8"
Canada,2017,Barrie,City proper,Provisional figure,2018,153356,"6,7,8"
Canada,2017,Trois-Rivières,Urban agglomeration,Provisional figure,2018,158942,"6,7,8"
Canada,2017,Saguenay,Urban agglomeration,Provisional figure,2018,159258,"6,7,8"
Canada,2017,Guelph,Urban agglomeration,Provisional figure,2018,159988,"6,7,8"
Canada,2017,Greater Sudbury / Grand Sudbury,City proper,Provisional figure,2018,164926,"6,7,8"
Canada,2017,Greater Sudbury / Grand Sudbury,Urban agglomeration,Provisional figure,2018,165270,"6,7,8"
Canada,2017,Sherbrooke,City proper,Provisional figure,2018,167162,"6,7,8"
Canada,2017,Oshawa,City proper,Provisional figure,2018,170071,"6,7,8"
Canada,2017,Kingston,Urban agglomeration,Provisional figure,2018,173862,"6,7,8"
Canada,2017,Abbotsford-Mission,Urban agglomeration,Provisional figure,2018,190714,"6,7,8"
Canada,2017,Kelowna,Urban agglomeration,Provisional figure,2018,202208,"6,7,8"
Canada,2017,Burlington,City proper,Provisional figure,2018,205960,"6,7,8"
Canada,2017,Richmond Hill,City proper,Provisional figure,2018,208370,"6,7,8"
