Country Name,Health expenditure / Capita
Afghanistan,57.24876048
Angola,95.22079857
Albania,271.54304258
Andorra,3834.73058142
United Arab Emirates,1323.11680312
Argentina,955.2009489
Armenia,358.84174796
Antigua and Barbuda,623.11462593
Australia,5002.35827732
Austria,4688.28020378
Azerbaijan,268.15586521
Burundi,18.46188216
Belgium,4149.38532224
Benin,30.40151289
Burkina Faso,40.94095568
Bangladesh,34.21796766
Bulgaria,612.47858555
Bahrain,1099.36229078
"Bahamas, The",1835.22820219
Bosnia and Herzegovina,443.78378047
Belarus,317.99419058
Belize,303.60483768
Bolivia,213.01732534
Brazil,1015.93444765
Barbados,1163.84456087
Brunei Darussalam,630.6293586
Bhutan,91.33533448
Botswana,379.9230078
Central African Republic,16.36043526
Canada,4458.21499934
Switzerland,9835.96368572
Chile,1190.54854502
China,398.33155573
Cote d'Ivoire,67.57069603
Cameroon,64.46729416
"Congo, Dem. Rep.",20.5175231
"Congo, Rep.",70.37796786
Colombia,340.36546879
Comoros,59.00043787
Cabo Verde,159.07351003
Costa Rica,888.85370049
Cuba,970.64616387
Cyprus,1634.43092199
Czech Republic,1321.62020252
Germany,4714.2608733
Djibouti,70.19033417
Dominica,419.36591407
Denmark,5565.59342469
Dominican Republic,414.17657995
Algeria,260.41257932
Ecuador,504.78248204
"Egypt, Arab Rep.",130.9858695
Eritrea,29.8912246
Spain,2389.88740785
Estonia,1185.33334806
Ethiopia,27.52365701
Finland,4117.25778244
Fiji,179.91156997
France,4263.36156106
"Micronesia, Fed. Sts.",386.6940552
Gabon,220.3547089
United Kingdom,3958.01889383
Georgia,308.03165121
Ghana,67.50885898
Guinea,37.45933893
"Gambia, The",20.93043715
Guinea-Bissau,39.05417469
Equatorial Guinea,281.37453092
Greece,1510.66671302
Grenada,516.41704659
Guatemala,241.35228463
Guyana,192.27367614
Honduras,199.55451507
Croatia,884.49111374
Haiti,37.7231276
Hungary,942.59196302
Indonesia,111.55321931
India,62.71555407
Ireland,4758.59431522
"Iran, Islamic Rep.",415.39119979
Iraq,152.64254835
Iceland,5063.60583151
Israel,2837.13963899
Italy,2738.70612439
Jamaica,296.24614827
Jordan,223.53819879
Japan,4233.0332764
Kazakhstan,262.0090142
Kenya,66.20980967
Kyrgyz Republic,72.87788481
Cambodia,77.67368199
Kiribati,188.04908791
St. Kitts and Nevis,930.76518312
"Korea, Rep.",2043.86063994
Kuwait,1068.32321339
Lao PDR,55.21359284
Lebanon,662.12705762
Liberia,68.31283566
St. Lucia,489.76139493
Sri Lanka,153.09678414
Lesotho,85.51857328
Lithuania,987.94931374
Luxembourg,6271.43758791
Latvia,874.20357724
Morocco,171.4501845
Monaco,2939.84496393
Moldova,171.19013187
Madagascar,24.11914971
Maldives,1047.8439321
Mexico,461.78664709
Marshall Islands,851.3429126
North Macedonia,327.84334608
Mali,29.7866224
Malta,2327.78190367
Myanmar,62.10872783
Montenegro,531.73230239
Mongolia,140.70820365
Mozambique,19.20749469
Mauritania,46.77139384
Mauritius,553.09652768
Malawi,29.58739886
Malaysia,361.52197369
Namibia,402.75701789
Niger,22.68333964
Nigeria,79.33990545
Nicaragua,188.158313
Netherlands,4742.0302736
Norway,7477.89760673
Nepal,45.45297766
Nauru,1012.3496595
New Zealand,3745.2164613
Oman,648.27724661
Pakistan,39.57887533
Panama,1040.67319231
Peru,316.43713498
Philippines,129.4326091
Palau,1674.08990885
Papua New Guinea,55.15180669
Poland,809.01490244
Portugal,1800.85991928
Paraguay,327.23510514
West Bank and Gaza,
Qatar,1827.06034376
Romania,476.36830872
Russian Federation,469.13086784
Rwanda,48.07821533
Saudi Arabia,1147.3329702
Sudan,152.02214088
Senegal,52.60971245
Singapore,2462.3936773
Solomon Islands,106.33939442
Sierra Leone,86.30818595
El Salvador,293.87255671
San Marino,3012.79423602
Serbia,494.42058398
Sao Tome and Principe,105.13438534
Suriname,356.05148319
Slovak Republic,1178.73823051
Slovenia,1834.16071169
Sweden,5710.59141927
Eswatini,220.58673255
Seychelles,596.92307058
Chad,31.68594246
Togo,38.77137729
Thailand,221.91767602
Tajikistan,55.69698772
Turkmenistan,422.84882869
Timor-Leste,79.89393546
Tonga,203.15022392
Trinidad and Tobago,1063.8270624
Tunisia,256.50184479
Turkey,468.64728125
Tuvalu,507.3523714
Tanzania,35.49967383
Uganda,37.60696696
Ukraine,141.19114781
Uruguay,1379.09855737
United States,9869.74238174
Uzbekistan,135.11115848
St. Vincent and the Grenadines,250.2166125
Vietnam,122.84117394
Vanuatu,109.81414068
"Yemen, Rep.",
South Africa,428.17601764
Zambia,56.5441821
Zimbabwe,93.94222513
