Country,AVG internet speed Max,avg internet speed min
South Korea ,29048,6993,
Norway ,23633,4055,
Sweden ,22847,4527,
Hong Kong ,21943,6091,
Switzerland ,21683,4380,
Finland ,20587,2733,
Singapore ,20346,2170,
Japan ,20172,6542,
Denmark ,20708,3196,
Monaco ,18895,2014,
United States ,18748,3609,
Netherlands ,17915,4165,
Romania ,16991,3458,
Czech Republic ,17768,3672,
United Kingdom ,16921,3086,
Taiwan ,16869,2729,
Latvia ,18326,3102,
Iceland ,17459,3379,
Belgium ,16276,4021,
Canada ,16206,3294,
Thailand ,15999,780,
Ireland ,16961,2269,
Bulgaria ,15815,2020,
Spain ,15487,2354,
Germany ,15299,3208,
Hungary ,14814,2885,
New Zealand ,14709,1999,
Lithuania ,15105,1614,
Austria ,14100,3287,
Andorra ,14356,1474,
Qatar ,13710,808,
Israel ,14389,2458,
Slovenia ,14584,2560,
Slovakia ,13802,4018,
Portugal ,13145,2347,
Malta ,12927,1974,
Ukraine ,12941,1281,
Isle of Man ,12714,1827,
Poland ,12755,1605,
Liechtenstein ,12459,3223,
Puerto Rico ,12367,1008,
Faroe Islands ,12245,876,
Kenya ,14958,209,
Russia ,12288,1910,
Luxembourg ,11591,2533,
Estonia ,11698,2923,
Serbia ,11086,804,
Australia ,11063,1923,
France ,10757,3071,
Kazakhstan ,10582,398,
Aruba ,10426,871,
Belarus ,9757,593,
Trinidad and Tobago ,9590,540,
Fiji ,9530,219,
Uruguay ,9506,402,
Vietnam ,9504,703,
Guam ,9406,956,
Chile ,9259,1098,
Italy ,9211,2454,
Malaysia ,8945,827,
Georgia ,8774,535,
Croatia ,8592,1894,
United Arab Emirates ,10685,809,
Bosnia and Herzegovina ,8562,1068,
Sri Lanka ,8527,375,
Bahamas ,8376,1978,
Bahrain ,8595,552,
Kuwait ,9026,1026,
Greece ,7862,1525,
Macedonia ,7775,1236,
Rwanda ,11299,103,
China ,7583,636,
Cayman Islands ,7581,1345,
Turkey ,7560,1009,
Mexico ,7538,949,
Indonesia ,7203,600,
San Marino ,7079,2117,
Papua New Guinea ,8431,276,
Cyprus ,7168,759,
Brazil ,6819,698,
Albania ,6965,811,
Jamaica ,6790,1258,
South Africa ,6737,686,
Barbados ,6710,1031,
Saudi Arabia ,6706,1242,
Montenegro ,6689,1490,
Bermuda ,6685,1132,
Mongolia ,8571,239,
India ,6492,784,
Argentina ,6268,1061,
Peru ,6232,750,
Ecuador ,6337,516,
Uzbekistan ,6039,152,
Panama ,5900,611,
Palestine ,5826,321,
Jordan ,5750,913,
Mauritius ,6433,200,
Azerbaijan ,5672,288,
Colombia ,5523,573,
Philippines ,5451,796,
Cambodia ,5430,232,
New Caledonia ,5570,158,
Armenia ,5739,296,
Morocco ,5191,1138,
Grenada ,5700,1399,
Lesotho ,9368,127,
Greenland ,5120,377,
Oman ,4927,546,
Iran ,4704,462,
Northern Mariana Islands ,4479,466,
Tunisia ,4476,1070,
Dominican Republic ,4430,366,
Myanmar ,4358,528,
Bangladesh ,4232,194,
Costa Rica ,4092,696,
Iraq ,4191,460,
Laos ,4031,256,
Dominica ,11904,1106,
Nigeria ,4129,349,
Cape Verde ,5450,209,
Kyrgyzstan ,3814,713,
Maldives ,4159,322,
Angola ,3719,132,
Zimbabwe ,4688,98.62,
Turkmenistan ,3625,111,
Congo ,3463,155,
North Korea ,14704,800,
Bhutan ,3426,99.26,
Nepal ,3774,433,
Ghana ,3368,252,
Sierra Leone ,3361,211,
Madagascar ,3788,145,
Guatemala ,3655,515,
French Polynesia ,3228,304,
Mayotte ,3630,59.09,
Seychelles ,3323,116,
Honduras ,3224,658,
Guyana ,3241,137,
Nicaragua ,3118,397,
Ethiopia ,4014,95.43,
El Salvador ,3387,621,
Sudan ,4579,327,
Namibia ,3039,302,
Palau ,6551,96.94,
Haiti ,3645,419,
Antigua and Barbuda ,2739,1094,
Burundi ,3556,82.78,
Bolivia ,2689,259,
Sao Tome and Principe ,2687,33.02,
Ivory Coast ,3184,276,
Tajikistan ,4925,124,
Botswana ,2553,299,
Somalia ,2434,104,
Mozambique ,2690,236,
Uganda ,2516,104,
Pakistan ,2508,391,
Gambia ,2321,175,
Zambia ,2325,117,
Cameroon ,2292,161,
Belize ,2367,430,
Algeria ,2541,311,
Suriname ,2752,167,
Tonga ,4986,67.57,
Lebanon ,2271,308,
Guinea ,2053,104,
Senegal ,2017,473,
Djibouti ,2493,313,
Samoa ,2333,237,
Egypt ,3983,389,
Afghanistan ,1902,273,
Cuba ,2430,81.16,
Venezuela ,1938,647,
Syria ,3042,307,
Liberia ,4375,212,
Gabon ,1961,297,
Eritrea ,1747,44.31,
Mauritania ,1949,308,
Chad ,1800,135,
Marshall Islands ,2283,77.08,
Benin ,1642,165,
Solomon Islands ,1597,80.14,
Central African Republic ,1445,73.03,
Equatorial Guinea ,1642,88.6,
Swaziland ,1626,82.01,
Kiribati ,20923,44.88,
Togo ,1483,158,
Paraguay ,2164,181,
Malawi ,1910,86.23,
Vanuatu ,4797,118,
Burkina Faso ,1133,221,
Yemen ,1268,155,
American Samoa ,1890,297,
Niger ,1079,124,
Comoros ,1148,73.94,
Mali ,1030,235,
