Country,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient
Norway,0.953,0.876,8.0,-1,7.9,2.7,0.933,6.1,0.859,14.9,0.839,4.1,1.0,27.5
Switzerland,0.944,0.871,7.8,-2,7.5,3.5,0.942,2.4,0.876,16.8,0.799,5.2,1.3,32.5
Australia,0.939,0.861,8.2,-4,8.0,3.6,0.935,2.6,0.904,17.7,0.755,5.8,1.4,34.7
Ireland,0.938,0.854,9.0,-7,8.6,2.8,0.922,2.9,0.891,20.1,0.759,5.1,1.2,31.9
Germany,0.936,0.861,8.1,-2,7.8,3.0,0.913,2.7,0.915,17.7,0.763,5.1,1.2,31.7
Iceland,0.935,0.878,6.0,5,5.9,2.4,0.945,2.6,0.889,12.8,0.807,3.6,0.9,25.6
"Hong Kong, China (SAR)",0.933,0.809,13.3,-14,12.7,2.5,0.961,10.2,0.768,25.6,0.716,,,
Sweden,0.933,0.864,7.4,1,7.2,2.7,0.937,3.7,0.870,15.3,0.789,4.6,1.0,29.2
Singapore,0.932,0.816,12.5,-10,11.9,2.6,0.947,8.2,0.764,25.0,0.750,,,
Netherlands,0.931,0.857,7.9,0,7.8,3.0,0.925,5.3,0.858,15.0,0.792,4.4,1.1,29.3
Denmark,0.929,0.860,7.5,2,7.4,3.4,0.905,4.3,0.880,14.4,0.798,4.0,1.0,28.2
Canada,0.926,0.852,8.0,0,7.7,4.3,0.921,1.4,0.887,17.4,0.758,6.2,1.3,34.0
United States,0.924,0.797,13.8,-11,13.1,5.6,0.865,5.5,0.853,28.1,0.685,9.4,2.0,41.5
United Kingdom,0.922,0.835,9.4,-3,9.1,4.0,0.912,3.7,0.880,19.5,0.726,5.4,1.3,33.2
Finland,0.920,0.868,5.6,10,5.5,2.8,0.920,1.9,0.887,11.7,0.802,3.9,1.0,27.1
New Zealand,0.917,0.846,7.7,3,7.5,4.3,0.913,1.7,0.901,16.4,0.736,,,
Belgium,0.916,0.836,8.7,1,8.7,3.6,0.909,8.7,0.815,13.7,0.788,4.2,1.0,27.7
Liechtenstein,0.916,,,,,,,,,,,,,
Japan,0.909,0.876,3.6,16,3.6,2.9,0.955,1.6,0.835,6.3,0.844,5.4,1.2,32.1
Austria,0.908,0.835,8.0,2,7.8,3.0,0.922,2.6,0.830,17.7,0.760,4.9,1.1,30.5
Luxembourg,0.904,0.811,10.3,0,10.1,3.4,0.921,9.4,0.718,17.7,0.805,5.0,1.2,31.2
Israel,0.903,0.787,12.8,-6,12.2,3.3,0.932,7.0,0.813,26.4,0.644,9.8,2.0,41.4
Korea (Republic of),0.903,0.773,14.3,-8,14.0,3.2,0.929,18.5,0.702,20.2,0.709,5.3,1.2,31.6
France,0.901,0.808,10.3,1,10.1,3.6,0.930,8.6,0.768,18.1,0.739,5.2,1.3,32.7
Slovenia,0.896,0.846,5.6,11,5.5,3.0,0.912,2.2,0.866,11.4,0.766,3.7,0.9,25.4
Spain,0.891,0.754,15.4,-12,14.9,3.0,0.945,18.6,0.671,23.3,0.676,7.3,1.5,36.2
Czechia,0.888,0.840,5.3,11,5.2,3.3,0.876,1.6,0.879,10.8,0.771,3.7,0.9,25.9
Italy,0.880,0.771,12.3,-4,11.9,2.9,0.944,10.5,0.708,22.5,0.687,6.6,1.4,34.7
Malta,0.878,0.805,8.3,5,8.2,4.0,0.901,6.9,0.762,13.7,0.761,4.4,1.1,29.0
Estonia,0.871,0.794,8.8,3,8.5,4.3,0.850,2.3,0.849,18.9,0.694,5.4,1.2,32.7
