EN_country,Score 2019
Norway,"7,82"
Finland,"7,9"
Sweden,"8,31"
Netherlands,"8,63"
Denmark,"9,87"
Switzerland,"10,52"
New Zealand,"10,75"
Jamaica,"11,13"
Belgium,"12,07"
Costa Rica,"12,24"
Estonia,"12,27"
Portugal,"12,63"
Germany,"14,6"
Iceland,"14,71"
Ireland,15
Austria,"15,33"
Luxembourg,"15,66"
Canada,"15,69"
Uruguay,"16,06"
Suriname,"16,38"
Australia,"16,55"
Samoa,"18,25"
Namibia,"18,95"
Latvia,"19,53"
Cape Verde,"19,81"
Liechtenstein,"20,49"
Ghana,"20,81"
Cyprus,"21,74"
Spain,"21,99"
Lithuania,"22,06"
South Africa,"22,19"
France,"22,21"
United Kingdom,"22,23"
Slovenia,"22,31"
Slovakia,"23,58"
Burkina Faso,"24,53"
Andorra,"24,63"
Papua New Guinea,"24,7"
Trinidad and Tobago,"24,74"
Czech Republic,"24,89"
South Korea,"24,94"
Taiwan,"24,98"
Italy,"24,98"
Botswana,"25,09"
Tonga,"25,41"
Chile,"25,65"
Romania,"25,67"
United States,"25,69"
Senegal,"25,81"
Guyana,"26,63"
Fiji,"27,18"
Belize,"27,5"
Madagascar,"27,76"
Dominican Republic,"27,9"
Comoros,"27,91"
Argentina,"28,3"
Mauritius,"28,46"
Poland,"28,89"
Georgia,"28,98"
Armenia,"28,98"
Haiti,29
Bosnia and Herzegovina,"29,02"
Croatia,"29,03"
Greece,"29,08"
Niger,"29,26"
Japan,"29,36"
Malawi,"29,36"
Seychelles,"29,41"
Mongolia,"29,51"
Ivory Coast,"29,52"
Tunisia,"29,61"
Hong Kong,"29,65"
Cyprus North,"29,67"
Kosovo,"29,68"
Togo,"29,69"
Malta,"29,74"
Lesotho,"29,74"
Panama,"29,78"
Bhutan,"29,81"
El Salvador,"29,81"
Albania,"29,84"
Kyrgyzstan,"29,92"
East Timor,"29,93"
Peru,"30,22"
Sierra Leone,"30,36"
Hungary,"30,44"
Israel,"30,8"
Guinea-Bissau,"30,95"
Serbia,"31,18"
Moldova,"31,21"
Gambia,"31,35"
Liberia,"31,49"
Mauritania,"31,65"
Macedonia,"31,66"
Benin,"31,74"
Ecuador,"31,88"
Maldives,"32,16"
Paraguay,"32,4"
Kenya,"32,44"
Lebanon,"32,44"
Ukraine,"32,46"
Mozambique,"32,66"
Montenegro,"32,74"
Brazil,"32,79"
Nepal,"33,4"
Guinea,"33,49"
Kuwait,"33,86"
Angola,"34,96"
Ethiopia,"35,11"
Bulgaria,"35,11"
Mali,"35,23"
Bolivia,"35,38"
Nicaragua,"35,53"
Gabon,"35,6"
Guatemala,"35,94"
Congo,"36,04"
Tanzania,"36,28"
Zambia,"36,38"
Nigeria,"36,5"
Afghanistan,"36,55"
Chad,"36,71"
Malaysia,"36,74"
Indonesia,"36,77"
Uganda,"39,42"
Sri Lanka,"39,61"
Zimbabwe,"42,23"
Qatar,"42,51"
Colombia,"42,82"
Jordan,"43,11"
Cameroon,"43,32"
Oman,"43,42"
United Arab Emirates,"43,63"
Philippines,"43,91"
Morocco,"43,98"
Thailand,"44,1"
Palestine,"44,68"
Myanmar,"44,92"
South Sudan,"45,65"
India,"45,67"
Algeria,"45,75"
Pakistan,"45,83"
Cambodia,"45,9"
Mexico,"46,78"
Central African Republic,"47,27"
Honduras,"48,53"
Swaziland,"49,09"
Venezuela,"49,1"
Russian Federation,"50,31"
Bangladesh,"50,74"
Singapore,"51,41"
Brunei Darussalam,"51,48"
Belarus,"51,66"
The Democratic Republic Of The Congo,"51,71"
Rwanda,"52,43"
Iraq,"52,6"
Turkey,"52,81"
Kazakhstan,"52,82"
Burundi,"52,89"
Uzbekistan,"53,52"
Tajikistan,"54,02"
Libya,"55,77"
Egypt,"56,47"
Somalia,"57,24"
Equatorial Guinea,"58,35"
Azerbaijan,"59,13"
Bahrain,"61,31"
Yemen,"61,66"
Cuba,"63,81"
Islamic Republic of Iran,"64,41"
Lao People's Democratic Republic,"64,49"
Saudi Arabia,"65,88"
Djibouti,"71,36"
Syrian Arab Republic,"71,78"
Sudan,"72,45"
Vietnam,"74,93"
China,"78,92"
Eritrea,"80,26"
Democratic People's Republic of Korea,"83,4"
Turkmenistan,"85,44"
