Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT,Health expenditure / Capita,Travel distance in h driving(flight count double),Mountains
Australia,Free,1,1,98,77,0.939,0.861,8.2,-4,8.0,3.6,0.935,2.6,0.904,17.7,0.755,5.8,1.4,34.7,0.9,18,16.55,72.6,63.4,73.8,85.7,76.82,139.91,2,17,12,17,39,32,11063,1923,226,5.69,29.86,12.53,30,0,-,45,1.3,23.9,-1.3,10,5002.35827732,60.0,1.0
Austria,Free,1,1,94,76,0.908,0.835,8.0,2,7.8,3.0,0.922,2.6,0.830,17.7,0.760,4.9,1.1,30.5,0.7,26,15.33,54.0,68.1,21.5,76.7,79.46,145.78,17,8,10,6,15,9,14100,3287,246,3.12,20.08,-11.08,25,18.12,21.38,55,1.6,10.2,-3,20,4688.28020378,0,1.0
Belgium,Free,1,1,95,75,0.916,0.836,8.7,1,8.7,3.6,0.909,8.7,0.815,13.7,0.788,4.2,1.0,27.7,1.9,45,12.07,-,-,-,-,78.30,142.96,16,26,13,15,28,21,16276,4021,198,1.67,22.84,-6.08,29,13.07,27.5,50,1.73,223,-18.11,21,4149.38532224,8.7,0.5
Bulgaria,Free,2,2,80,42,0.813,0.710,12.7,-1,12.3,6.7,0.788,6.5,0.753,23.6,0.604,7.3,1.6,37.4,1.1,59,35.11,-,-,-,-,55.07,97.41,60,53,74,96,92,102,15815,2020,153,1.59,25.06,-6.9,10,13.78,19.02,10,2.8,2020,-2.6,20,612.47858555,18.90,1.0
Canada,Free,1,1,99,81,0.926,0.852,8.0,0,7.7,4.3,0.921,1.4,0.887,17.4,0.758,6.2,1.3,34.0,1.7,22,15.69,68.0,72.1,56.0,78.2,71.27,130.87,12,18,7,10,35,30,16206,3294,71.16,14.32,14.8,-28.74,26.5,6.72,7.37,33,2,21.6,-17.8,5,4458.21499934,40.0,1.0
Croatia,Free,1,2,86,48,0.831,0.756,9.0,4,8.8,4.1,0.853,5.0,0.752,17.3,0.675,5.2,1.1,30.8,1.0,58,29.03,-,-,-,-,65.60,120.17,38,33,36,56,57,43,8592,1894,-,-,25.51,-5.81,18,20,16.5,36,0.6,8.43,-1.8,25,884.49111374,7.0,1.0
Cyprus,Free,1,1,94,59,0.869,0.769,11.5,-1,11.3,3.6,0.900,11.7,0.714,18.7,0.707,5.3,1.4,34.0,1.1,57,21.74,-,-,-,-,52.06,90.02,25,31,28,39,22,24,7168,759,-,-,29.79,7.03,12.5,8.3,8.3,35,-0.2,18.75,-3.59,19,1634.43092199,11.0,0.5
Czech Republic,Free,1,1,93,59,0.888,0.840,5.3,11,5.2,3.3,0.876,1.6,0.879,10.8,0.771,3.7,0.9,25.9,0.6,35,24.89,-,-,-,-,74.47,136.81,35,19,30,40,81,48,17768,3672,-,-,22.09,-11.62,19,11,34,22,2.7,21.9,-0.4,21,1321.62020252,6.20,0.5
Denmark,Free,1,1,97,88,0.929,0.860,7.5,2,7.4,3.4,0.905,4.3,0.880,14.4,0.798,4.0,1.0,28.2,1.0,3,9.87,80.2,77.5,81.8,82.2,79.22,146.06,28,21,20,8,65,34,20708,3196,-,-,0.7,-36.83,22,0,0,55.89,0.6,13,-0.1,25,5565.59342469,12.5,0.0
Finland,Free,1,1,100,85,0.920,0.868,5.6,10,5.5,2.8,0.920,1.9,0.887,11.7,0.802,3.9,1.0,27.1,1.4,17,7.9,74.5,75.3,61.0,92.1,75.27,136.95,20,27,22,18,44,31,20587,2733,117,4.25,19.13,-21.2,20,9.79,20.17,53.75,1,19.31,-1.54,24,4117.25778244,28,0.0
France,Free,1,2,90,72,0.901,0.808,10.3,1,10.1,3.6,0.930,8.6,0.768,18.1,0.739,5.2,1.3,32.7,1.4,32,22.21,60.7,79.5,42.2,56.5,78.34,143.47,3,12,6,4,4,1,10757,3071,180,5.91,23.66,1.6,31,23,45,45,1.2,18.8,-0.7,20,4263.36156106,9.3,1.0
Germany,Free,1,1,94,80,0.936,0.861,8.1,-2,7.8,3.0,0.913,2.7,0.915,17.7,0.763,5.1,1.2,31.7,1.2,24,14.6,66.8,79.9,44.9,76.6,73.58,134.05,22,20,14,3,41,25,15299,3208,136,2.79,22.34,-9.3,30,20.08,19.83,45,1.6,11.54,-7.62,19,4714.2608733,5.9,1.0
Greece,Free,2,2,85,45,0.870,0.753,13.5,-8,13.1,3.5,0.912,13.1,0.728,22.8,0.642,7.1,1.5,36.0,0.8,72,29.08,-,-,-,-,55.48,98.13,7,6,23,30,11,14,7862,1525,230,0.3,28.43,1.22,28,16,25.06,45,-0.3,33.7,-2.9,24,1510.66671302,19.3,1.0
Hungary,Free,3,2,72,46,0.838,0.772,7.8,8,7.7,4.7,0.822,3.2,0.789,15.2,0.710,4.9,1.1,30.4,2.1,53,30.44,-,-,-,-,47.62,86.24,62,40,43,59,105,66,14814,2885,158,1.02,24.93,-9.82,9,18.5,21,15,3.4,31,-1.4,27,942.59196302,7.3,0.5
Iceland,Free,1,1,95,76,0.935,0.878,6.0,5,5.9,2.4,0.945,2.6,0.889,12.8,0.807,3.6,0.9,25.6,0.3,21,14.71,-,-,-,-,65.66,119.72,19,24,16,14,27,15,17459,3379,227,5.88,11.89,-10.01,20,0,6.6,46.24,3.1,25.2,-0.06,24,5063.60583151,20,1.0
