Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT,Health expenditure / Capita,Sort criteria
Norway,Free,1,1,100,84,0.953,98.8,8.0,-1,7.9,2.7,0.933,6.1,0.859,14.9,0.839,4.1,1.0,82.5,0.5,92.8,100.0,73.3,71.5,58.1,90.2,74.36,135.72,15,4,3,16,18,11,23633,4055,201,18.92,15.31,-15.51,50.0,8.2,14.1,40.2,46.3,18.9,-1.8,9.099999999999994,7477.89760673,69.83
Czech Republic,Free,1,1,93,59,0.888,77.4,5.3,11,5.2,3.3,0.876,1.6,0.879,10.8,0.771,3.7,0.9,95.8,0.6,59.0,37.4,-,-,-,-,74.47,136.81,35,19,30,40,81,48,17768,3672,-,-,22.09,-11.62,61.5,11,34,74.6,26.799999999999997,21.9,-0.4,27.299999999999997,1321.62020252,66.14
Denmark,Free,1,1,97,88,0.929,89.3,7.5,2,7.4,3.4,0.905,4.3,0.880,14.4,0.798,4.0,1.0,76.7,1.0,97.6,92.5,99.7,77.5,81.8,82.2,79.22,146.06,28,21,20,8,65,34,20708,3196,-,-,0.7,-36.83,50.0,0,0,2.799999999999997,78.0,13,-0.1,9.099999999999994,5565.59342469,65.76
New Zealand,Free,1,1,98,87,0.917,81.0,7.7,3,7.5,4.3,0.913,1.7,0.901,16.4,0.736,,,,,100.0,89.3,64.2,65.4,63.4,80.6,73.71,133.68,31,16,26,20,80,41,14709,1999,-,-,17.7,3.34,26.900000000000006,0,-,51.3,51.2,44,-15.3,54.5,3745.2164613,64.74
Finland,Free,1,1,100,85,0.920,94.0,5.6,10,5.5,2.8,0.920,1.9,0.887,11.7,0.802,3.9,1.0,85.8,1.4,80.7,99.7,82.4,75.3,61.0,92.1,75.27,136.95,20,27,22,18,44,31,20587,2733,117,4.25,19.13,-21.2,57.7,9.79,20.17,7.299999999999997,68.3,19.31,-1.54,13.599999999999994,4117.25778244,64.27
Switzerland,Free,1,1,96,85,0.944,95.8,7.8,-2,7.5,3.5,0.942,2.4,0.876,16.8,0.799,5.2,1.3,40.8,0.5,55.4,90.1,61.5,58.0,67.5,83.2,73.23,137.77,8,10,2,2,26,20,21683,4380,315,9.71,21.09,-8.81,65.4,6,6,36.4,78.0,11.92,-1.4,87.7,9835.96368572,63.68
Iceland,Free,1,1,95,76,0.935,100.0,6.0,5,5.9,2.4,0.945,2.6,0.889,12.8,0.807,3.6,0.9,98.3,0.3,75.9,74.8,-,-,-,-,65.66,119.72,19,24,16,14,27,15,17459,3379,227,5.88,11.89,-10.01,57.7,0,6.6,23.200000000000003,17.099999999999994,25.2,-0.06,13.599999999999994,5063.60583151,63.55
Ireland,Free,1,1,96,73,0.938,85.7,9.0,-7,8.6,2.8,0.922,2.9,0.891,20.1,0.759,5.1,1.2,45.8,0.8,73.5,73.7,59.1,79.0,45.9,76.6,51.44,93.38,27,13,25,25,32,19,16961,2269,273,5.71,18.09,0.27,86.5,4,10.95,19.5,65.9,23.15,-6.56,18.200000000000003,4758.59431522,62.94
Sweden,Free,1,1,100,85,0.933,91.7,7.4,1,7.2,2.7,0.937,3.7,0.870,15.3,0.789,4.6,1.0,68.3,1.1,86.7,98.2,76.4,67.6,72.6,80.2,69.41,127.31,4,28,4,7,21,23,22847,4527,135,7.8,17.93,-16.61,52.3,7,31.42,0.0,48.8,15.5,-1.6,9.099999999999994,5710.59141927,60.08
Canada,Free,1,1,99,81,0.926,84.5,8.0,0,7.7,4.3,0.921,1.4,0.887,17.4,0.758,6.2,1.3,28.299999999999997,1.7,74.7,71.2,62.7,72.1,56.0,78.2,71.27,130.87,12,18,7,10,35,30,16206,3294,71.16,14.32,14.8,-28.74,32.7,6.72,7.37,51.3,43.9,21.6,-17.8,100.0,4458.21499934,60.05
