Country,Freedom Status,Political Rights,Civil Rights,Freedom Index,CPI Score 2018,HDI,IHDI,IHDI Loss,IHDI Rank,Coefficient of human inequality,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income Quintile ratio,Income Palma ratio ,Income Gini coefficient,Homicide rate(2015/2016),Ease of Doing Business,Press Freedom 2019,Pension Index,Adequacy,Sustainability,Integrity,Healthcare Ind,Healthcare Exp.,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,max. avg. Internet speed,min. avg. Internet speed , max. avg. percipitation ,  min avg. Percipitation,avg. max Temperature, avg. min Temperature,Corporate Tax rates,Employee Social Contribution,Employer Social Contribution,Individual Income Tax rates,current Inflation rate,max. Inflation rate, min. Inflation rate,VAT
Abkhazia,Partly Free,4,5,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Afghanistan,Not Free,5,6,26,16,0.498,0.350,29.6,7,28.2,28.4,0.485,45.4,0.227,10.8,0.391,,,,,167,"36,55",-,-,-,-,-,-,168,182,183,184,150,173,1902,273,134,0.13,28.53,-4.55,20,20,50,20,4.9,13.97,-18.39,10
Albania,Partly Free,3,3,68,36,0.785,0.706,10.0,7,10.0,9.2,0.817,8.5,0.681,12.2,0.633,4.3,1.0,29.0,2.7,63,"29,84",-,-,-,-,53.03,92.71,102,129,86,149,64,55,6965,811,302,0.44,25.84,-2.05,15,9.5,15,23,1.3,42.08,-2.11,20
Algeria,Not Free,6,5,35,35,0.754,0.598,20.7,-9,20.1,15.1,0.735,33.7,0.441,11.4,0.660,4.0,1.0,27.6,1.4,157,"45,75",-,-,-,-,55.06,100.01,84,110,99,114,45,81,2541,311,25.26,0.33,35.83,9.53,26,9,26,35,3.1,11.92,0.58,19
Andorra,Free,1,1,96,-,0.858,,,,,,,9.4,0.647,,,,,,,,"24,63",-,-,-,-,-,-,10,25,17,23,7,4,14356,1474,214,1.49,24.31,-0.92,10,-,-,-,-,-,-,4.5
Angola,Not Free,6,6,26,19,0.581,0.393,32.4,-2,32.3,33.8,0.426,34.3,0.327,28.9,0.436,9.0,2.2,42.7,,173,"34,96",-,-,-,-,-,-,165,178,181,164,165,181,3719,132,310,0,25.17,17.23,30,3,8,17,16.94,241,6.89,10
Antigua and Barbuda,Free,2,2,83,-,0.780,,,,,7.5,0.804,,,,,,,,,112,-,-,-,-,-,-,-,48,58,71,43,123,86,2739,1094,662,37.25,29.33,23.16,25,5.5,7.5,0,-,-,-,-
Argentina,Free,2,2,83,40,0.825,0.707,14.3,-6,13.9,9.5,0.790,6.2,0.765,25.8,0.585,9.5,2.1,42.4,5.9,119,"28,3",39.2,40.8,33.8,44.1,69.81,126.94,39,60,49,34,71,75,6268,1061,112,8,23.29,4.8,30,17,26.7,35,55.8,20263,-7,21
Armenia,Partly Free,5,4,45,35,0.755,0.680,10.0,10,9.8,9.0,0.767,2.9,0.727,17.4,0.563,5.1,1.3,32.5,3.0,41,"28,98",-,-,-,-,-,-,41,63,81,102,56,104,5739,296,149,0.32,25.29,-10.28,20,0,0,36,2.5,22887,-5.52,20
Australia,Free,1,1,98,77,0.939,0.861,8.2,-4,8.0,3.6,0.935,2.6,0.904,17.7,0.755,5.8,1.4,34.7,0.9,18,"16,55",72.6,63.4,73.8,85.7,76.82,139.91,2,17,12,17,39,32,11063,1923,226,5.69,29.86,12.53,30,0,-,45,1.3,23.9,-1.3,10
Austria,Free,1,1,94,76,0.908,0.835,8.0,2,7.8,3.0,0.922,2.6,0.830,17.7,0.760,4.9,1.1,30.5,0.7,26,"15,33",54.0,68.1,21.5,76.7,79.46,145.78,17,8,10,6,15,9,14100,3287,246,3.12,20.08,-11.08,25,18.12,21.38,55,1.6,10.2,-3,20
Azerbaijan,Not Free,7,6,12,25,0.757,0.681,10.0,9,9.9,17.0,0.666,3.8,0.682,8.9,0.695,2.3,0.6,16.6,2.1,25,"59,13",-,-,-,-,41.57,72.02,65,99,103,162,60,109,5672,288,139,0.89,26.68,-5.99,20,-,-,-,2.5,25.4,-1.8,18
Bahamas,Free,1,1,91,65,0.807,,,,,8.7,0.784,6.3,0.680,,,,,,28.4,118,-,-,-,-,-,-,-,109,67,64,22,137,94,8376,1978,-,-,30.18,18.17,0,3.9,5.9,0,3.6,14.24,-1.42,12
Bahrain,Not Free,7,6,12,36,0.846,,,,,5.6,0.828,19.0,0.614,,,,,,,62,"61,31",-,-,-,-,-,-,61,72,58,48,30,42,8595,552,104,0,37.69,12.16,0,-,-,0,0.5,5.22,-2.06,5
Bangladesh,Partly Free,4,4,45,26,0.608,0.462,24.1,-1,23.4,17.3,0.672,37.3,0.319,15.7,0.459,4.8,1.3,32.4,2.5,176,"50,74",-,-,-,-,42.55,72.83,140,125,131,144,103,88,4232,194,1005,0.01,29.79,14.79,25,0,0,30,5.52,16,-0.03,15
Barbados,Free,1,1,96,68,0.800,0.669,16.4,-8,15.4,7.0,0.802,5.5,0.734,33.6,0.508,,,,10.9,129,-,-,-,-,-,-,-,53,36,38,36,87,46,6710,1031,620,9.6,29.05,23.71,5.5,11.1,12.75,40,1.1,11.2,-2.6,17.5
Belarus,Not Free,6,6,21,44,0.808,0.755,6.5,9,6.5,4.9,0.776,3.7,0.807,10.8,0.686,3.8,1.0,27.0,,37,"51,66",-,-,-,-,58.87,104.92,83,46,53,74,116,72,9757,593,155,6.01,22.81,-16.53,18,1,34,13,5.7,2796,4.1,20
